,Time,SL,SH,SPL,SPH,I1L,I1H,I2L,I2H,I3L,I3H,I4L,I4H,I5L,I5H,D1L,D1H,D2L,D2H,D3L,D3H,D4L,D4H,D5L,D5H,E1L,E1H,E2L,E2H,E3L,E3H,E4L,E4H,E5L,E5H,U1L,U1H,U2L,U2H,U3L,U3H,U4L,U4H,U5L,U5H,T1L,T1H,T2L,T2H,T3L,T3H,T4L,T4H,T5L,T5H,NewI,NewA,NewD1,NewD2,NewD3,NewD4,NewD5,Deaths
Q10,2006.5,35703.78184,63418.32667,0,0,155.2178353,579.7878068,0,0,0,0,0,0,0,0,729.6531652,2394.082221,16.60759396,44.22092997,3.45403273,8.63978799,0,0,0,0,2487.979659,5645.497943,166.487251,332.5084149,40.76992676,80.24006634,0,0,0,0,2802.512376,5420.569288,230.3332577,433.9435104,57.51066658,108.0822062,0,0,0,0,1169.494347,2198.607474,309.7624123,578.3459795,182.6587147,340.5958548,140.4660623,261.4599332,609.0397355,1132.499821,7691.142348,2445.998115,0,148.1322498,408.9486541,442.5698735,2929.017138,5273.023978
Q11,2006.75,35812.72768,63382.55133,0,0,153.0093081,574.4145076,0,0,0,0,0,0,0,0,718.9995577,2400.431161,16.01244617,44.21718921,3.30730459,8.61327732,0,0,0,0,2456.287436,5717.384107,167.5730632,339.7776189,41.121826,82.06569526,0,0,0,0,2764.718224,5403.355605,236.6897836,447.9419752,59.3109361,111.9183452,0,0,0,0,1142.988638,2158.491357,302.782144,566.6150276,178.4093087,333.2838928,142.2590479,265.0429329,662.1428806,1231.686921,8419.231109,2685.264158,0,164.0944454,450.5563649,484.3645942,3177.222591,5732.302196
Q12,2007,35922.80283,63355.73743,0,0,150.9216167,569.4411884,0,0,0,0,0,0,0,0,708.7913202,2400.741035,15.50487099,44.21211034,3.18407918,8.5991019,0,0,0,0,2425.448045,5783.552665,168.3547499,346.7184912,41.39370343,83.81997163,0,0,0,0,2727.768077,5391.273867,242.5276841,461.3507767,60.97485673,115.5952986,0,0,0,0,1118.522708,2123.577742,296.4942216,556.4436035,174.6101097,326.9521228,144.1279819,268.8363621,712.9816633,1326.804229,9140.468158,2922.196063,0,180.0158402,492.3350888,525.8668543,3420.666012,6184.187675
Q13,2007.25,36033.97456,63337.45047,0,0,148.9428218,564.8578427,0,0,0,0,0,0,0,0,699.0068578,2396.663946,15.06787048,44.18915637,3.07958078,8.58945402,0,0,0,0,2395.4501,5843.390978,168.8777385,353.33191,41.59552269,85.50018831,0,0,0,0,2691.67769,5383.561601,247.8706677,474.20776,62.5055079,119.1186528,0,0,0,0,1095.831862,2093.313872,290.807284,547.6772167,171.1999695,321.4994968,146.0596437,272.8265242,761.745095,1418.237634,9855.346535,3156.969076,0,195.8726822,534.2590844,567.1059865,3659.881952,6629.571807
Q14,2007.5,36146.21378,63327.28929,0,0,147.0625547,560.6385963,0,0,0,0,0,0,0,0,689.6269117,2389.480294,14.68788629,44.14021331,2.9900688,8.57959097,0,0,0,0,2366.27665,5896.647764,169.1795548,359.6135134,41.73635823,87.10373753,0,0,0,0,2656.456596,5379.48705,252.7424102,486.543237,63.90763509,122.4949751,0,0,0,0,1074.693544,2067.193287,285.6412691,540.1740417,168.1255731,316.8348485,148.0391765,276.9950477,808.6002095,1506.33639,10564.3147,3389.749701,0,211.6485131,576.3004259,608.1075531,3895.342867,7069.244866
Q15,2007.75,36259.49501,63324.88722,0,0,145.2714032,556.7514479,0,0,0,0,0,0,0,0,680.6333471,2380.169338,14.35413434,44.06266557,2.91259824,8.56685784,0,0,0,0,2337.907702,5943.331625,169.2915456,365.5574714,41.82420652,88.62815319,0,0,0,0,2622.108555,5378.366752,257.1666564,498.3816124,65.18683389,125.7306604,0,0,0,0,1054.920193,2044.750754,280.9263685,533.8035257,165.3406107,312.875444,150.0521335,281.3224299,853.6935338,1591.414294,11267.77619,3620.691339,0,227.3324579,618.4305427,648.8935264,4127.465943,7503.906196
Q16,2008,36373.79568,63329.91065,0,0,143.5610213,553.1633536,0,0,0,0,0,0,0,0,672.0084388,2369.470964,14.05804789,43.95731467,2.84484536,8.54998686,0,0,0,0,2310.32181,5983.63213,169.2401196,371.1586711,41.86601342,90.07130949,0,0,0,0,2588.632167,5379.575954,261.1671035,509.7425375,66.34910655,128.8314657,0,0,0,0,1036.353298,2025.558725,276.6019766,528.445278,162.8050004,309.5458492,152.0853202,285.7894762,897.1532068,1673.752085,11966.09262,3849.933307,0,242.9178524,660.6213078,689.48254,4356.619018,7934.17337
Q17,2008.25,36489.09552,63342.05645,0,0,141.9241081,549.8425924,0,0,0,0,0,0,0,0,663.7346402,2357.937329,13.79282383,43.82692641,2.7849757,8.52860573,0,0,0,0,2283.497049,6017.859515,169.0476774,376.4139087,41.86777821,91.43160247,0,0,0,0,2556.021568,5382.553758,264.7672157,520.6418401,67.40060978,131.802377,0,0,0,0,1018.858473,2009.224767,272.6156715,523.9881818,160.4841593,306.7770425,154.1270748,290.3778165,939.0912178,1753.600151,12659.58732,4077.601131,0,258.401164,702.8457822,729.8901821,4583.125768,8360.590394
Q18,2008.5,36605.37614,63361.0493,0,0,140.3543194,546.7597809,0,0,0,0,0,0,0,0,655.7945917,2345.974827,13.55305616,43.67525119,2.73153844,8.50289051,0,0,0,0,2257.411604,6046.399324,168.7333349,381.3224496,41.83468006,92.70806607,0,0,0,0,2524.267125,5386.804477,267.9900417,531.0923109,68.34750204,134.6476343,0,0,0,0,1002.321376,1995.389558,268.922249,520.3296835,158.3483328,304.5057283,156.1672915,295.0700385,979.6055332,1831.181179,13348.54929,4303.807416,0,273.7811509,745.0786959,770.1293062,4807.270315,8783.635082
Q19,2008.75,36722.62057,63386.63888,0,0,138.846159,543.8882214,0,0,0,0,0,0,0,0,648.1712294,2333.877619,13.33444277,43.5063771,2.68338578,8.47332761,0,0,0,0,2232.044095,6069.678828,168.3134964,385.8861891,41.77119627,93.90042217,0,0,0,0,2493.356105,5391.896356,270.8580584,541.1043901,69.19584999,137.3708257,0,0,0,0,986.6443419,1983.725182,265.4828276,517.3752192,156.3719829,302.6737951,158.1973319,299.8496733,1018.782026,1906.692638,14033.23685,4528.652944,0,289.0582152,787.2967327,810.2103448,5029.301354,9203.725717
