,Time,SL,SH,SPL,SPH,I1L,I1H,I2L,I2H,I3L,I3H,I4L,I4H,I5L,I5H,D1L,D1H,D2L,D2H,D3L,D3H,D4L,D4H,D5L,D5H,E1L,E1H,E2L,E2H,E3L,E3H,E4L,E4H,E5L,E5H,U1L,U1H,U2L,U2H,U3L,U3H,U4L,U4H,U5L,U5H,T1L,T1H,T2L,T2H,T3L,T3H,T4L,T4H,T5L,T5H,NewI,NewA,NewD1,NewD2,NewD3,NewD4,NewD5,Deaths
Q65,2020.25,43169.77612,70500.30868,0,0,57.20376704,253.9484963,3.95980369,17.53012001,3.42629664,15.1262863,8.89864336,39.34830797,0,0,290.3166809,1192.83091,34.60806497,141.1474232,7.55586582,31.35157598,12.56942983,53.22016595,204.2255062,832.814223,1285.175349,4441.189803,173.4279991,588.6536704,26.78005992,91.00213384,13.60800237,45.22966565,157.6238162,468.5972352,1500.506045,4491.850975,220.0547503,640.5891815,33.67258164,97.59841909,20.94216054,54.79399834,341.7514242,819.6980244,432.9579864,1234.672203,232.7812059,639.9277532,137.1065457,371.8966327,223.1213191,513.9770703,1957.162887,4183.914401,41666.63202,13510.60659,1576.768011,1055.539726,3135.864426,3062.234055,15192.16693,26899.99841
Q66,2020.5,43343.07774,70820.72991,0,0,56.19598507,249.8953825,3.89019311,17.25083915,3.36619808,14.88574218,8.74544442,38.73349985,0,0,280.7540574,1153.575749,34.31399061,139.6601329,7.49983614,31.07650807,13.27646019,55.86370618,227.0475992,917.6420248,1245.441757,4296.483561,176.4807794,599.0406943,27.39278332,93.09969921,14.30749503,47.59383112,169.0721281,505.1975421,1469.272669,4402.082455,224.5853886,656.2099424,34.51910999,100.4616977,21.57978553,56.71101562,352.1283512,848.1101521,420.4197847,1202.561734,229.5892633,633.3996246,135.5882085,369.1090347,224.0909982,517.7628534,1974.785924,4237.5231,42126.2732,13638.45887,1731.078229,1077.468108,3219.703631,3149.973308,15436.81538,27228.75051
Q67,2020.75,43518.59786,71148.59645,0,0,55.19470563,245.8570684,3.8210059,16.97251336,3.30644178,14.64596799,8.59293899,38.12075733,0,0,272.2830738,1119.382409,33.90576733,137.8115212,7.42174839,30.72771251,13.96223015,58.38638858,249.4409852,999.6543631,1206.875694,4156.907004,178.5847624,605.9067062,27.84163371,94.58912562,14.97473907,49.81681692,180.8290536,542.542517,1437.892062,4310.615819,228.3496733,669.2562569,35.23565039,102.8926261,22.19503625,58.54927596,362.7815119,877.3286403,408.8724968,1172.583041,226.2328201,626.2008303,133.8811777,365.6979775,224.815491,520.8520868,1991.820204,4289.569822,42578.32961,13764.46602,1882.862925,1098.696416,3300.727488,3235.767363,15675.08592,27552.46253
Q68,2021,43696.3506,71483.84632,0,0,54.20193647,241.8405873,3.75238866,16.69562672,3.24716167,14.40737661,8.44149747,37.51071402,0,0,264.6864867,1089.152424,33.42356822,135.746423,7.32903915,30.33223773,14.62839894,60.79585668,271.3914139,1078.872913,1169.600997,4022.953337,179.8493261,609.7190528,28.14500676,95.54846023,15.61178231,51.90845926,192.8246404,580.3714839,1406.447441,4217.938552,231.3786141,679.8243022,35.82738653,104.9066343,22.78710629,60.30520582,373.6569255,907.1702727,398.0969943,1144.196242,222.7903715,618.5342195,132.0626615,361.8611227,225.3573585,523.4017293,2008.165941,4339.765148,43022.84944,13888.635,2032.135068,1119.30776,3379.046169,3319.600512,15907.38853,27871.18915
Q69,2021.25,43876.3478,71826.40978,0,0,53.21892701,237.8517655,3.68443436,16.42059511,3.18844326,14.1703375,8.29138172,36.90428599,0,0,257.7925538,1062.035065,32.89556273,133.5619137,7.22698344,29.90873724,15.27619507,63.09872015,292.8885762,1155.330035,1133.690628,3894.86623,180.3794199,610.9132786,28.32066973,96.05112465,16.22082773,53.87908646,204.9963051,618.4578029,1375.023532,4124.520997,233.7073821,688.0325445,36.30022363,106.5230361,23.35548942,61.97669271,384.7028814,937.4606496,387.9260906,1117.005615,219.3077024,610.5215982,130.1806509,357.722133,225.7595218,525.5182753,2023.763092,4387.923188,43459.89118,14010.97587,2178.911693,1139.367434,3454.775751,3401.465554,16134.03215,28184.9808
Q70,2021.5,44058.59965,72176.21195,0,0,52.24641022,233.8949203,3.61719742,16.14772948,3.13033816,13.93513033,8.14275485,36.30224952,0,0,251.4653335,1037.371436,32.34127719,131.3220389,7.11927663,29.46984542,15.90649178,65.30043346,313.9250754,1229.066075,1099.178927,3772.708498,180.2733278,609.8864596,28.38532716,96.16445063,16.80409451,55.73888478,217.2885764,656.60661,1343.703427,4030.804029,235.3745432,694.0165047,36.66064012,107.764086,23.89993666,63.56285688,395.8702392,968.0355946,378.2332622,1090.726373,215.8095341,602.2342477,128.2636944,353.3566144,226.050456,527.2718615,2038.577862,4433.92658,43889.52035,14131.50096,2323.212844,1158.926927,3528.03436,3481.363355,16355.25169,28493.87935
Q71,2021.75,44243.1152,72533.17453,0,0,51.28481353,229.9732529,3.55071033,15.87725921,3.07287569,13.70196079,7.99571327,35.70518989,0,0,245.5971176,1014.65103,31.77405018,129.0681286,7.00847391,29.02396058,16.5198931,67.40546455,334.4956442,1300.126815,1066.071202,3656.41414,179.6214357,606.9946452,28.35438154,95.94906425,17.36373044,57.4975144,229.6526682,694.6519855,1312.566366,3937.191618,236.4212103,697.9237452,36.91553916,108.6541156,24.42042233,65.0638455,407.1126575,998.742137,368.9236928,1065.158347,212.3075627,593.7134748,126.3277563,348.809973,226.2484192,528.7075203,2052.59315,4477.702201,44311.80747,14250.22427,2465.060708,1178.027031,3598.9394,3559.302228,16571.22876,28797.91698
Q72,2022,44429.90255,72897.21676,0,0,50.33441129,226.0892998,3.48499279,15.60936398,3.01607456,13.4709884,7.85031441,35.11355167,0,0,240.1025359,993.4782545,31.20282474,126.826042,6.89631548,28.57654795,17.11680895,69.41752586,354.5965855,1368.561526,1034.351244,3545.827602,178.5056995,602.5529672,28.24182734,95.45880109,17.90175397,59.16390927,242.04596,732.4539166,1281.686237,3844.046933,236.8902019,699.9093224,37.07210624,109.2187634,24.91711212,66.48064652,418.3867582,1029.439133,359.9271665,1040.165262,208.8059098,584.9841306,124.3809599,344.1094847,226.3646848,529.8536306,2065.80203,4519.204911,44726.82704,14367.16092,2604.479061,1196.70025,3667.605615,3635.297218,16782.10739,29097.1171
Q73,2022.25,44618.96894,73268.25585,0,0,49.39542178,222.2452749,3.42006039,15.34419841,2.95994863,13.24234816,7.70659665,34.52769606,0,0,234.913945,973.5466982,30.63345446,124.6112443,6.78396715,28.13107345,17.69751926,71.33978684,374.2253873,1434.421609,1003.987209,3440.733284,176.9995915,596.8374133,28.06023298,94.7409453,18.42002769,60.74618774,254.4314416,769.8952769,1251.130634,3751.690961,236.8252511,700.1318328,37.13767635,109.4843062,25.39033031,67.8149162,429.6522334,1059.997569,351.1924379,1015.658475,205.30474,576.0632236,122.4268113,339.2722641,226.4059196,530.7280059,2078.203457,4558.407087,45134.65707,14482.32696,2741.492974,1214.972659,3734.143773,3709.369332,16988.00587,29391.49627
Q74,2022.5,44810.32076,73646.20719,0,0,48.46806505,218.4432796,3.35592846,15.08190794,2.90451099,13.01616629,7.56459305,33.94794815,0,0,229.9778104,954.6193014,30.0696466,122.4323501,6.67219283,27.68966262,18.26221614,73.17504174,393.3804679,1497.759704,974.9362052,3340.877607,175.1683591,590.0875639,27.82077788,93.83665386,18.92024427,62.25163881,266.7771498,806.8789577,1220.96032,3660.402895,236.270295,698.7500819,37.11961719,109.4770987,25.84053164,69.06883093,440.8718962,1090.300604,342.6827857,991.5843015,201.8025819,566.9651544,120.4663426,334.3103672,226.3758857,531.3421417,2089.79955,4595.292158,45535.379,14595.73924,2876.128699,1232.86536,3798.659806,3781.544769,17189.02563,29681.06657
Q75,2022.75,45003.9635,74030.9843,0,0,47.55259087,214.6854096,3.29261373,14.82263673,2.84977591,12.79256677,7.42433914,33.37462074,0,0,225.2518489,936.5130391,29.51364367,120.2935714,6.56148062,27.25356137,18.81104062,74.92583235,412.0610074,1558.629126,947.1478769,3245.985406,173.0694865,582.5098234,27.53332893,92.78147901,19.40392369,63.68674833,279.0556228,843.3252167,1191.229018,3570.421714,235.2688574,695.9203679,37.02522541,109.2231153,26.26827414,70.24495492,452.0116864,1120.243395,334.3725052,967.9141949,198.297751,557.7046665,118.4994921,329.2339152,226.2766242,531.7040821,2100.593966,4629.850846,45929.07781,14707.41544,3008.41365,1250.395611,3861.254314,3851.854169,17385.25766,29965.83796
Q76,2023,45199.90171,74422.49882,0,0,46.6492873,210.9737945,3.23013571,14.56653109,2.79576022,12.57167512,7.28587477,32.8080297,0,0,220.7027627,919.0870388,28.96670638,118.196393,6.45213104,26.82345299,19.344104,76.59453735,430.2668413,1617.083534,920.5671724,3155.771984,170.7532666,574.2808266,27.20653121,91.60592879,19.87241945,65.05725062,291.2433855,879.1692755,1161.983435,3481.948542,233.8635324,691.7943354,36.86164028,108.7475865,26.67419507,71.34612968,463.0406316,1149.732751,326.2441547,944.6372027,194.7891562,548.2982953,116.5259555,324.052881,226.1092585,531.8202864,2110.591015,4662.079149,46315.84209,14817.37409,3138.376434,1267.577709,3922.022309,3920.331898,17576.7872,30245.82054
Q77,2023.25,45398.13893,74820.66047,0,0,45.75847882,207.3105889,3.16851673,14.31373909,2.74248268,12.35361909,7.14924618,32.24849686,0,0,216.3044346,902.2333286,28.42945674,116.1407006,6.3443216,26.3996731,19.86150562,78.18342962,447.9983915,1673.176727,895.136483,3069.951875,168.2634285,565.5508174,26.84791617,90.33602781,20.32692677,66.36819198,303.3204712,914.3591769,1133.263453,3395.149471,232.0955613,686.5173394,36.6357749,108.0747222,27.05899003,72.37537919,473.9307764,1178.686652,318.2864004,921.7542153,191.2766961,538.7648532,114.5456725,318.7779887,225.8745201,531.696789,2119.795249,4691.97742,46695.76421,14925.63461,3266.046881,1284.423674,3981.053162,3987.015379,17763.69696,30521.02639
Q78,2023.5,45598.67766,75225.37703,0,0,44.88051821,203.6979399,3.10778103,14.06440924,2.68996417,12.13852596,7.01450543,31.69634765,0,0,212.036481,885.8696005,27.90211583,114.1255251,6.2381486,25.98235291,20.36334304,79.69471606,465.2566224,1726.962536,870.7972678,2988.245071,165.6377794,556.4468684,26.4640072,88.9938549,20.76849454,67.62399837,315.2699844,948.8538914,1105.102445,3310.158632,230.0045016,680.2272569,36.35425948,107.2275108,27.42339284,73.33583246,484.6570828,1207.033681,310.49234,899.2736349,187.7613867,529.1253382,112.5590719,313.4210485,225.5730788,531.3398655,2128.211349,4719.550064,47068.9403,15032.21735,3391.456068,1300.943789,4038.430674,4051.944485,17946.06937,30791.47108
Q79,2023.75,45801.5193,75636.55442,0,0,44.01577196,200.1379465,3.047954,13.8186868,2.63822627,11.92652167,6.8817077,31.15190548,0,0,207.883091,869.9335393,27.38466674,112.1495205,6.13366039,25.57151378,20.8497202,81.130562,482.0430102,1778.494754,847.4912819,2910.381348,162.9088362,547.0758729,26.0604265,87.59804498,21.19803867,68.82854383,327.0777079,982.6216607,1077.527672,3227.081344,227.627977,673.0536782,36.02340133,106.2275777,27.7681632,74.23066036,495.1973092,1234.712381,302.8582056,877.2081565,184.2453246,519.4025181,110.5671604,307.9949474,225.2057373,530.75637,2135.844177,4744.805572,47435.47019,15137.14362,3514.636317,1317.14702,4094.233244,4115.160983,18123.98795,31057.17484
Q80,2024,46006.6642,76054.09685,0,0,43.16461148,196.6326136,2.98906094,13.57671044,2.58729151,11.7177269,6.7509108,30.61548575,0,0,203.8320911,854.3783576,26.87696437,110.2112573,6.03087397,25.16712413,21.32075028,82.49310362,498.3595213,1827.827091,825.1614811,2836.103128,160.1044231,537.5272673,25.6419954,86.16424802,21.61635473,69.98521597,338.7317492,1015.638559,1050.560727,3145.997235,225.0015017,665.117417,35.64915432,105.0951046,28.09407069,75.0630256,505.5318705,1261.67057,295.3823678,855.5724178,180.7315545,509.6203632,108.5715087,302.5134439,224.7735313,529.9538587,2142.69892,4767.75668,47795.45727,15240.4357,3635.621161,1333.041337,4148.534107,4176.708039,18297.53816,31318.16328
Q81,2024.25,46214.11158,76477.90697,0,0,42.32739731,193.183812,2.93112724,13.33861071,2.5371812,11.51225479,6.62217234,30.08738791,0,0,199.874188,839.1692779,26.37880566,108.3093924,5.92979155,24.76913696,21.77655889,83.78445688,514.2085909,1875.013134,803.752675,2765.167252,157.2482325,527.8754756,25.21282996,84.70554054,22.0241312,71.09697643,350.2222264,1047.887251,1024.218016,3066.963241,222.1583672,656.5302806,35.23710129,103.8487844,28.40188624,75.8360432,515.6436902,1287.864648,288.0645803,834.3813208,177.2238902,499.8034389,106.5741857,296.9908712,224.2777683,528.9405763,2148.781262,4788.420552,48149.00825,15342.11677,3754.445288,1348.633969,4201.401603,4236.629782,18466.80774,31574.46792
